Token,Frequency
و,920111
در,828906
به,617581
از,589080
که,327043
است,315676
این,262197
را,304432
با,206067
رده,141844
آن,120650
سال,114812
برای,188321
یک,96793
ایران,84578
بود,72730
او,70100
بر,71058
شد,69909
نام,74830
منابع,57741
شده,83609
تا,66965
خود,64722
یا,58986
می‌شود,50251
دارد,67963
کرد,58480
تاریخ,46279
شهر,45309
نیز,44032
سیارک,43029
شهرستان,43656
دو,40823
قرار,41162
پس,43627
استان,35486
یکی,35786
بخش,39226
دیگر,34001
عنوان,30283
بیرون,29967
وی,29917
زبان,29842
می,211961
تهران,64488
پیوند,29386
هم,35628
های,68688
دانشگاه,28377
استفاده,40759
میلادی,28214
هر,35512
مطلق,26384
نفر,25415
کشور,25077
ملی,32053
جمعیت,24228
وجود,38780
آمریکا,23578
توسط,24982
می‌باشد,23104
می‌کند,22945
برابر,23266
کار,39055
آنها,22852
کوچک,21641
مورد,30481
فیلم,21424
صورت,40051
محمد,21072
شده‌است,20970
باشد,34968
کتاب,20933
اما,21376
هستند,21854
بوده,21353
روی,28752
زمان,22857
ها,32571
دست,21159
سپتامبر,18826
بین,19534
دهستان,18658
مرکزی,17876
زندگی,17872
مرکز,18548
بعد,23495
همچنین,17388
پیش,24674
روز,34273
دارای,20254
شود,46899
منبع,16892
فارسی,16801
اول,18063
اسلامی,17933
مردم,16731
واقع,16677
گروه,16175
بزرگ,16144
آب,17424
اجرام,15755
داشت,15941
اهل,15623
روستاهای,15586
ناسا,15585
وابسته,16500
تصویر,15434
بازیابی‌شده,15406
اصلی,18080
شرکت,17656
دادگان,15129
سیارک‌ها,15116
جنگ,14804
دوم,14798
کند,16665
فهرست,14760
انگلیسی,14519
نظر,17395
جعبه,14494
مانند,14886
بیشتر,15410
موسیقی,14302
کرده,19955
منطقه,14297
دوره,14184
بسیار,15266
زیر,14157
سه,19251
چاپ,15636
قدر,14101
ایرانی,14084
می‌کنند,14064
علی,13570
سازمان,14617
داد,15934
آثار,13274
اطلاعات,42857
بن,13226
انجام,39879
ولی,16255
جهان,13093
بودند,13061
آمار,13041
داشته,17483
جستارهای,12919
مرگ,12867
جمهوری,12859
میان,12850
دارند,15538
راه,14620
چند,22522
بازی,12255
برخی,12954
اولین,12834
حال,15583
آغاز,11997
فعالیت,24985
داده,17865
روستا,11782
اثر,11780
جنوب,11680
شرقی,11663
می‌توان,11557
غربی,11541
نوع,25033
شاه,11521
رسمی,12711
دولت,11499
گرفته,12981
حدود,11405
تولید,11230
نقش,11206
بار,17656
تشکیل,11085
فوتبال,11049
روستای,11036
می‌شوند,11035
آذربایجان,10897
همراه,13275
كه,10870
بسیاری,10822
تنها,11052
شمال,10696
سیاسی,10675
بی,13065
کردن,19360
شامل,12745
ماه,11396
وب‌گاه,10535
اگر,17991
شدن,14083
گرفت,10746
دوران,10376
باید,94459
ی,33613
مجموعه,11202
حزب,9994
محل,11474
ایجاد,13253
جمله,10043
جهانی,9545
اساس,9620
همین,11898
زمین,9980
می‌دهد,9478
مختلف,9742
شهرهای,9366
سر,9592
شکل,9872
ساخته,9248
نشان,10631
زادگان,9156
اين,9144
انقلاب,9102
فرهنگ,8999
طول,8914
همه,12162
کردند,8788
متر,8681
علوم,8644
جایزه,8629
خط,8982
ساخت,11238
شدند,8527
افراد,9995
بیش,10358
تیم,8457
درگاه,8650
تاریخی,8605
دلیل,13359
سطح,8355
تمام,10406
فرانسه,8297
متحده,8295
چون,13384
زیادی,8361
معروف,8218
سید,8216
توجه,8595
ای,31792
عربی,8184
نخستین,8168
همان,8425
سیستم,13822
من,86207
پایان,9357
هجری,8036
نمود,9281
جدید,19872
دکتر,7972
نیست,18062
یافت,9805
تعداد,12487
هزار,9570
مجلس,7860
برنامه,10857
ایالات,7831
احمد,7828
علمی,8217
ص,7811
گفته,8111
توابع,7795
جهت,12955
طور,10846
قرن,7736
قبل,10334
بهترین,7822
اسلام,7702
سوم,7675
بوده‌است,7667
نویسنده,7661
یعنی,7950
آزاد,7620
جوایز,7613
قابل,10003
غیر,10907
زنان,7402
تولد,7391
تغییر,15389
داستان,7353
خانه,8652
مدت,13647
ما,9535
اشاره,7731
پانویس,7318
تحت,8015
کنند,9280
انتشارات,7210
آلمان,7207
اند,7775
وب,7506
حکومت,7105
ترجمه,7102
نسبت,7484
باعث,7965
زمانی,10756
وارد,18755
رشته,7046
نوشته,7925
حسین,7020
رئیس,7008
انتشار,7004
سمت,6998
کیلومتر,6996
مسجد,6975
دیگری,9362
قانون,6944
جنوبی,6937
می‌تواند,6933
سپس,6921
عمومی,10316
اینکه,11307
شورای,6877
ادامه,14564
الله,6852
خواهد,8752
فرهنگی,7936
چهار,7523
منتشر,6808
سوی,6891
آمد,6790
بدون,11056
خان,6702
سرشماری,6665
آلبوم,6664
قلعه,6626
درگذشتگان,6613
روستایی,6598
آن‌ها,6596
می‌شد,6569
درجه,6551
مربوط,16243
صفحه,9115
بازیگر,6501
رنگ,6413
بالا,6396
چه,141186
شیخ,6372
انتخاب,7871
دهستان‌های,6352
آموزش,6834
زن,6321
مهم,6819
باشگاه,6316
جای,7079
روش,10960
اعلام,21656
دور,6206
باز,8202
غرب,6164
کوه,6138
گردید,6138
اروپا,6136
نه,10136
روزنامه,7335
کامل,8133
شروع,6432
اهالی,7005
قسمت,10580
عراق,6070
شمالی,6063
اجتماعی,6025
اعضای,6922
ممکن,7311
تبدیل,6409
هنر,6006
خانوار,6005
کشورهای,5999
ترین,6097
آمریکایی,5994
انسان,5978
پسر,5977
شبکه,5969
امام,5949
خورشیدی,5941
سایت,18039
افزایش,8617
حقوق,6913
بازدید,5871
حسن,5946
مناطق,6041
نیروی,5838
وزارت,5809
نظامی,5790
تقویم,5781
شماره,27475
جان,5770
کنار,6255
رسید,6054
دهه,5720
دنیا,5816
هیچ,7413
چنین,6010
عضو,5809
آباد,5696
آنجا,5694
آنان,5693
افغانستان,5686
خراسان,5670
بنا,5664
ادبیات,5662
موجود,8550
زاده,5615
فارس,5608
توسعه,6099
سی,7799
عمل,5677
کننده,5573
ریاست,5559
معنی,5646
تپه,5540
مهندسی,5533
جلد,5531
می‌گیرد,5526
درباره,8723
مواد,5510
جام,5503
خانواده,6590
طبیعی,5477
قدرت,5470
دریافت,17045
حضور,5442
سبک,5429
فیلم‌های,5424
حتی,5421
جریان,5504
انتخابات,5400
سازی,6383
هنگام,10568
طریق,9958
پدر,5357
طی,10356
بودن,5935
ایالت,5326
اصفهان,5306
جزیره,5301
داخلی,5699
می‌رود,5292
نیروهای,6185
میلیون,5682
رفت,5375
